id,text,label
1,"Allez jusqu'à Jurong Point, c'est dingue... Disponible uniquement à Bugis et au Great World, le buffet... Le cinéma là-bas a de l'amour...",0
2,"Ok lar... Je plaisante avec toi oni...",0
3,"Participez gratuitement à un concours hebdomadaire pour gagner des billets pour la finale de la FA Cup le 21 mai 2005. Envoyez FA par SMS au 87121 pour recevoir la question de participation (tarif SMS standard). Conditions générales applicables. 08452810075. Réservé aux personnes majeures.",1
4,"Tu ne le dis pas si tôt... Tu peux déjà le dire...",0
5,"Non, je ne crois pas qu'il soit à l'USF, mais il habite dans le coin.",0
6,"Message gratuit Salut chérie, ça fait trois semaines et toujours pas de nouvelles ! J'aimerais bien m'amuser, ça te dit toujours ? OK ! Bisous. Frais d'envoi : 1,50 £.",1
7,"Même mon frère ne me parle plus. Ils me traitent comme un malade du sida.",0
8,"Conformément à votre demande, « Melle Melle (Oru Minnaminunginte Nurungu Vettam) » a été défini comme sonnerie d'appel pour tous vos correspondants. Appuyez sur *9 pour copier la sonnerie d'appel de vos amis.",0
9,"GAGNANT ! En tant que client fidèle de notre réseau, vous avez été sélectionné pour recevoir un prix de 900 £ ! Pour le réclamer, appelez le 09061701461. Code de réclamation : KL341. Offre valable 12 heures seulement.",1
10,"Vous avez votre mobile depuis 11 mois ou plus ? Vous avez droit à une mise à jour gratuite vers le dernier modèle couleur avec appareil photo ! Appelez The Mobile Update Co gratuitement au 08002986030.",1
11,"Je rentre bientôt et je ne veux plus parler de ça ce soir, d'accord ? J'ai assez pleuré aujourd'hui.",0
12,"SIX chances de gagner de l'argent ! De 100 à 20 000 livres sterling. Envoyez CSH11 par SMS au 87575. Coût : 150 pence/jour, 6 jours. Réservé aux personnes de plus de 16 ans. Conditions générales applicables.",1
13,"URGENT ! Vous avez gagné une semaine d'abonnement GRATUITE à notre cagnotte de 100 000 £ ! Envoyez CLAIM par SMS au numéro 81010.",1
14,"J'ai cherché les mots justes pour vous remercier de ce répit. Je vous promets que je n'oublierai jamais votre aide.",0
15,"J'AI UN RENDEZ-VOUS DIMANCHE AVEC WILL !!",0
16,"XXXMobileMovieClub : Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain SMS ou cliquez ici.",1
17,"Oh d'accord... je regarde ici :)",0
18,"Très bien si c'est ce que tu ressens. Ça doit être comme ça.",0
19,"Angleterre - Macédoine - Ne manquez pas les buts et les compositions des équipes. Envoyez le nom de votre équipe nationale par SMS au 87077.",1
20,"C'est vraiment comme ça qu'on écrit son nom ?",0
21,"Je vais essayer pendant 2 mois, ha ha, je plaisante !",0
22,"Donc tu payes d'abord... Ensuite, quand est-ce que les actions arrivent...",0
23,"Après avoir fini mon déjeuner, je descends directement. Vers 15h. Tu as déjà fini de déjeuner ?",0
24,"Fffffffffff. Bon, impossible de te rencontrer plus tôt ?",0
25,"Haha, tu es toujours si convaincant(e) !",0
26,"As-tu pris le bus ? Es-tu en train de faire frire un œuf ? Ressens-tu mon amour ?",0
27,"Merci pour votre abonnement à Ringtone UK. Votre mobile sera facturé 5 £/mois. Veuillez confirmer en répondant OUI ou NON.",1
28,"07732584351 - Rodger Burns - Nous avons tenté de vous joindre suite à votre réponse à notre SMS.",1
29,"Aucun appel, message, appel manqué",0
30,"Veuillez appeler notre représentant du service clientèle au 0800 169 6031 car vous avez GAGNÉ un prix garanti.",1
31,"Je ne compte pas acheter plus tard. J'ai déjà vérifié, Lido n'a que 17h30 de séance cet après-midi. Tu as fini le travail ?",0
